"ECOLE_ID","ECOLE_NAME_FR","ECOLE_NAME_UK","ECOLE_SHORT_NAME","ECOLE_SHORT_NAME_UK","COUNTRY_ID"
"448f50a5-7edb-4a86-b9da-72da763336c8","CENTRE D'INSTRUCTION DU BATAILLON DES TRANSMISSIONS","CENTRE D'INSTRUCTION DU BATAILLON DES TRANSMISSIONS","CI-BATRANS","CI-BATRANS","02"
"1","CENTRE DE PERFECTIONNEMENT ET D'ENTRAINEMENT DES FORCES ARMEES NATIONALES","CENTRE DE PERFECTIONNEMENT ET D'ENTRAINEMENT DES FORCES ARMEES NATIONALES","CPEFAN","CPEFAN","02"
"bd184664-bbd3-4003-b45f-979d373673c1","ECOLE D'APPLICATION DES OFFICIERS DE LA GENDARMERIE NATIONALE","ECOLE D'APPLICATION DES OFFICIERS DE LA GENDARMERIE NATIONALE","EAOGN","EAOGN","02"
"faab488a-d279-4c26-b879-a18a502bcf7a","ECOLE DES SOUS OFFICIERS DE LA GENDARMERIE NATIONALE","ECOLE DES SOUS OFFICIERS DE LA GENDARMERIE NATIONALE","ESOGN","ESOGN","02"
"09c4df9a-e43b-4484-8016-92f2a2a454f1","COMMANDEMENT DES ECOLES ET CENTRES D'INSTRUCTIONS DE LA GENDARMERIE","COMMANDEMENT DES ECOLES ET CENTRES D'INSTRUCTIONS DE LA GENDARMERIE","CECIG","CECIG","02"
"83","ACADEMIE MILITAIRE D'APPROVISSIONEMENT DE MATERIEL ET DE TECHNIQUE DE SAINT PETERSBOURG","ACADEMIE MILITAIRE D'APPROVISSIONEMENT DE MATERIEL ET DE TECHNIQUE DE SAINT PETERSBOURG","","","44"
"84","ACADEMIE MILITAIRE DE RUSSIE","ACADEMIE MILITAIRE DE RUSSIE","","","44"
"85","ECOLE MILITAIRE DE MEDECINE SAINT PETERSBOURG ","ECOLE MILITAIRE DE MEDECINE SAINT PETERSBOURG ","","","44"
"86","ECOLE NAVALE RUSSIE","ECOLE NAVALE RUSSIE","","","44"
"87","ECOLE SUPERIEUR D'AVIATION DE KRASNODAR ","ECOLE SUPERIEUR D'AVIATION DE KRASNODAR ","","","44"
"88","ECOLE SUPERIEUR MILITAIRE DU COMMANDEMENT DU MARECHAL ROKSSOVSKOGO","ECOLE SUPERIEUR MILITAIRE DU COMMANDEMENT DU MARECHAL ROKSSOVSKOGO","","","44"
"89","ECOLE DES SOUS OFFICIERS DU SENEGAL","ECOLE DES SOUS OFFICIERS DU SENEGAL","","","18"
"90","ECOLE MILITAIRE DE SANTE DU SENEGAL","ECOLE MILITAIRE DE SANTE DU SENEGAL","","","18"
"91","ECOLE NATIONALE DES OFFICIERS D'ACTIVE DE THIES","ECOLE NATIONALE DES OFFICIERS D'ACTIVE DE THIES","","","18"
"92","ECOLE NORMALE DES OFFICIERS D'ACTIVES","ECOLE NORMALE DES OFFICIERS D'ACTIVES","","","18"
"93","ECOLE DU SERVICE DE SANTE DES ARMEES DE LOME","ECOLE DU SERVICE DE SANTE DES ARMEES DE LOME","","","19"
"94","ECOLE DE FORMATION DES OFFICIERS DES FORCES ARMEES TOGOLAISES","ECOLE DE FORMATION DES OFFICIERS DES FORCES ARMEES TOGOLAISES","","","19"
"95","ACADEMIE NAVALE DE MENZEL BOURGUIBA","ACADEMIE NAVALE DE MENZEL BOURGUIBA","","","20"
"96","ECOLE D'AVIATION DE BORJ EL AMRI","ECOLE D'AVIATION DE BORJ EL AMRI","","","20"
"97","ECOLE DE SANTE DE TUNISIE","ECOLE DE SANTE DE TUNISIE","","","20"
"98","ECOLE DES SOUS OFFICIERS DE BIZERTE ","ECOLE DES SOUS OFFICIERS DE BIZERTE ","","","20"
"99","ECOLE D'ETAT MAJOR DE TUNIS","ECOLE D'ETAT MAJOR DE TUNIS","","","20"
