Grade;Corps
ADJUDANT;AA
ADJUDANT CHEF;AA
ADJUDANT CHEF-MAJOR;AA
ASPIRANT ;AA
CAPITAINE;AA
CAPORAL;AA
CAPORAL-CHEF;AA
COLONEL;AA
COMMANDANT;AA
LIEUTENANT;AA
LIEUTENANT-COLONEL;AA
SERGENT;AA
SERGENT-CHEF;AA
SOLDAT DE 1ER CLASSE;AA
SOLDAT DE 2E CLASSE;AA
SOUS-LIEUTENANT;AA
ADJUDANT;AT
ADJUDANT CHEF;AT
ADJUDANT CHEF-MAJOR;AT
ASPIRANT ;AT
CAPITAINE;AT
CAPORAL;AT
CAPORAL-CHEF;AT
CHEF DE BATAILLON;AT
COLONEL;AT
LIEUTENANT;AT
LIEUTENANT-COLONEL;AT
SERGENT;AT
SERGENT-CHEF;AT
SOLDAT DE 1ER CLASSE;AT
SOLDAT DE 2E CLASSE;AT
SOUS-LIEUTENANT;AT
ASPIRANT ;MN
CAPITAINE DE CORVETTE;MN
CAPITAINE DE FREGATE;MN
CAPITAINE DE VAISSEAU;MN
ENSEIGNE DE VAISSEAU DE 1ER CLASSE;MN
ENSEIGNE DE VAISSEAU DE 2E CLASSE;MN
LIEUTENANT DE VAISSEAU;MN
MAITRE;MN
MAITRE PRINCIPAL;MN
MAITRE PRINCIPAL MAJOR;MN
MATELOT DE 1ER CLASSE;MN
MATELOT DE 2E CLASSE;MN
PREMIER MAITRE;MN
QUARTIER-MAITRE DE 1ER CLASSE;MN
QUARTIER-MAITRE DE 2E CLASSE;MN
SECOND MAITRE;MN
ADJUDANT;GN
ADJUDANT CHEF;GN
ADJUDANT CHEF-MAJOR;GN
ASPIRANT ;GN
CAPITAINE;GN
CHEF D'ESCADRON;GN
COLONEL;GN
ELEVE-GENDARME;GN
GENDARME;GN
GENDARME MAJOR;GN
LIEUTENANT;GN
LIEUTENANT-COLONEL;GN
MARECHAL DES LOGIS;GN
MARECHAL DES LOGIS-CHEF;GN
SOUS-LIEUTENANT;GN
