;BATAILLON DE COMMANDEMENT ET DE SOUTIEN DE LA RMIA5;;;;
COM RMIA5 ;UNITES ET FORMATIONS DE COMBAT DE L’ARMEE DE TERRE;CINQUANTE-ET-UNIEME BRIGADE D’INFANTERIE MOTORISEE (51OBRIM);CINQUANTE -ET-UNIEME BATAILLON DE COMMANDEMENT ET DE SOUTIEN (51OBCS);51O CCS;
(NORD-OUEST, OUEST);;;;511O CT;
;;;;512OCMAT;
;;;;513O COM;
;;;CINQUANTE -ET-UNIEME BATAILLON D’APPUI (51OBA);51O CCT;
;;;;510O CAC;
;;;;511O BASS;
;;;;512OBASA;
;;;CINQUANTE-ET-UNIEME BATAILLON D’INFANTERIE MOTORISEE (51OBIM);51O CCT;
;;;;510O CAC;
;;;;511OCIM;
;;;;512OCIM;
;;;CINQUANTE -ET-DEUXIEME BATAILLON D’INFANTERIE MOTORISEE (52OBIM);52O CCT;
;;;;520O CAC;
;;;;521OCIM;
;;;;522OCIM;
;;;;523OCIM;
;;;CINQUANTE-ET-TROISIEME BATAILLON D’INFANTERIE MOTORISEE (53OBIM);53O CCT;
;;;;530O CAC;
;;;;531OCIM;
;;;;532OCIM;
;;;;533OCIM;
;;BRIGADE D’INTERVENTION RAPIDE (BRIR);BATAILLON DE COMMANDEMENT ET DE SOUTIEN (BCS/BRIR);CIE DE COMMANDEMENT ET DES SERVICES (CCS);
;;;;CIE DES TRANSPORTS (CT);
;;;; CIE DES MATÉRIELS (CMAT);
;;;;CIE DU COMMISSARIAT  (CCOM);
;;;BATAILLON DES TROUPES AEROPORTEES (BTAP);CIE DE COMMANDEMENT ET DE TRANSMISSIONS (CCT);
;;;;CIE D’APPUI (CA);
;;;;CIE DE LIVRAISON PAR AIR ET D’ENTRAINEMENT AU SAUT (CLAES);
;;;;1O  CIE PARA COMMANDO (CPC);
;;;;2O CPC;
;;;;3O CPC;
;;;;CIE D’INSTRUCTION DU BTAP (CI/STAP);
;;;BATAILLON SPECIAL AMPHIBIE (BSA);CCT;
;;;;PREMIERE UNITÉ SPÉCIALE DE COMBAT (1° USC);
;;;;2° USC;
;;;;3° USC;
;;;;UNITÉ SPÉCIALE D’INSTRUCTION (USI);
;;;BATAILLON BLINDE DE RECONNAISSANCE (BBR);ESCADRON DE COMMANDEMENT ET DE SOUTIEN (ECS);
;;;;ESCADRON D’INTERVENTION (EI);
;;;;PREMIER ESCADRON BLINDE (1O EB);
;;;;2O EB;
;;;;3O EB;
;;;;ESCADRON INSTRUCTION;
;;;;ESCADRON PORTEE;
;UNITES ET FORMATIONS DE SOUTIEN, D’APPUI ET D’INSTRUCTION DE L’ARMEE DE TERRE;CINQUANTE -ET-UNIEME REGIMENT DU GENIE (51OREGEN);GROUPEMENT DE COMMANDEMENT ET DES SERVICES (GCS);COMPAGNIE DE COMMANDEMENT ET DES SERVICES (CCS);
;;;;COMPAGNIE D’EQUIPEMENTS ET DE TRANSPORT (CET);
;;;;COMPAGNIE DE FORAGE ET DE TRAITEMENT DES EAUX (CFTE);
;;;GROUPEMENT DE COMBAT (GC);PREMIER COMPAGNIE DE COMBAT (1OCC);
;;;;DEUXIEME COMPAGNIE DE COMBAT (2OCC);
;;;;TROISIEME COMPAGNIE DE COMBAT (3OCC);
;;;GROUPEMENT DES TRAVAUX D’INFRASTRUCTURES (GTI);PREMIERE COMPAGNIE DES TRAVAUX (1OCT);
;;;;DEUXIEME DES TRAVAUX (2OCT);
;;;;TROISIEME COMPAGNIE DES TRAVAUX (3OCT);
;FORCES DE L’ARMEE DE L’AIR;CINQUANTE-ET-UNIEME ESCADRON AERIEN (51°EA);· 511° ESCADRILLE DE CHASSE ET D’APPUI;;
;;;· 512° ESCADRILLE DE CHASSE ET D’APPUI;;
;;;ESCADRILLE DE TRANSPORT ET D’ASSAUT;;
;;;ESCADRILLE DE LIAISON ET D’OBSERVATION;;
;;;ESCADRILLE DE RECONNAISSANCE;;
;;;ESCADRILLE D’HELICOPTERES ANTI-CHARS;;
;;CINQUANTE-ET-DEUXIEME ESCADRON AERIEN (52°EA);· 521° ESCADRILLE DE CHASSE ET D’APPUI;· 521° ESCADRILLE DE CHASSE ET D’APPUI;
;;;· 522° ESCADRILLE DE CHASSE ET D’APPUI;· 522° ESCADRILLE DE CHASSE ET D’APPUI;
;;;ESCADRILLE DE TRANSPORT ET D’ASSAUT;ESCADRILLE DE TRANSPORT ET D’ASSAUT;
;;;ESCADRILLE DE LIAISON ET ESCADRILLE D’OBSERVATION;ESCADRILLE DE LIAISON ET ESCADRILLE D’OBSERVATION;
;;;ESCADRILLE DE RECONNAISSANCE;ESCADRILLE DE RECONNAISSANCE;
;;;ESCADRILLE D’HELICOPTERESANTI-CHARS;ESCADRILLE D’HELICOPTERESANTI-CHARS;
;FORCES DE PROTECTION TERRESTRE DE L’ARMEE DE L’AIR;BATAILLON DES FUSILIERS DE L’AIR DE LA BASE AERIENNE 501 (BAFUSAIR 501);CIE DE COMMANDEMENT ET DES SERVICES;CIE DE COMMANDEMENT ET DES SERVICES;
;;;PREMIER CIE DE PROTECTION ;PREMIER CIE DE PROTECTION ;
;;;DEUXIEME CIE DE PROTECTION;DEUXIEME CIE DE PROTECTION;
;;;TROIXIEME CIE DE PROTECTION;TROIXIEME CIE DE PROTECTION;
;;;UNITES ANTI AERIENNES;UNITES ANTI AERIENNES;
;ELEMENTS DE SOUTIEN DE L’ARMEE DE L’AIR;BASE AERIENNE 501;GROUPEMENT DES MOYENS TECHNIQUES (GMT);ESCADRON DES SERVICES TECHNIQUE;
;;;;ESCADRON DE MAINTENANCE;
;;;;ESCADRON DES MATERIELS ET SERVITUDES ;
;;;;;
;;;;ESCADRON DE RAVITAILLEMENT TECHNIQUE;
;;;;;
;;;;;
;;;;;
;;;GROUPEMENT DES MOYENS GENERAUX (GMX);ESCADRON DES SERVICES GENERAUX;
;;;;ESCADRON DE SOUTIEN DES INFRASTRUCTURES AEROPORTUAIRES;
;;;;CIE DES MOYENS GENERAUX;
;;;GROUPEMENT DES MOYENS OPERATIONNELS (GMO);ESCADRON DES SERVICES OPERATIONNELS;
;;;;ESCADRON DES SYSTEMES D’INFORMATION ET DE COMMUNICATION;
;;;;ESCADRON DE VOLS;
;;;;CIE DES MOYENS OPERATIONNELS;
;ECOLES ET CI DE L’ARMEE DE L’AIR;CI DE LA BASE 501;CCS;LES COMPAGNIES D’INSTRUCTION ;
FORMATIONS ET UNITES TERRITORIALES DU CNSP;50O GROUPEMENT DE SAPEURS-POMPIERS (50O GSP);;;50O CCS;
;;;;501O COMPAGNIE D’INCENDIE (BAMENDA);
;;;;;
;;;;;
;;;;502O COMPAGNIE D’INCENDIE (BAFOUSSAM);
;;;;;
;;;;;
;;;;503O COMPAGNIE D’INCENDIE (DSCHANG);
;;;;;
;;;;;
